subject,lower_limit_centroiddist,upper_limit_centroiddist,corr_centroiddist,lower_limit_pressdiff,upper_limit_pressdiff,corr_pressdiff,lower_limit_ca,upper_limit_ca,corr_ca,lower_limit_centroid,upper_limit_centroid,corr_centroid,corr_all,max_corr,max_corr_val,centroid_pval,pressurediff_pval,ca_pval,centroiddist_pval,all_pval,CI_Diff_centroid_pressurediff,Overlap_centroid_pressurediff,centroid_CI,pressurediff_CI,CI_Diff_centroid_ca,Overlap_centroid_ca,ca_CI,CI_Diff_centroid_centroiddist,Overlap_centroid_centroiddist,centroiddist_CI,CI_Diff_centroid_all,Overlap_centroid_all,all_CI,CI_Diff_pressurediff_ca,Overlap_pressurediff_ca,CI_Diff_pressurediff_centroiddist,Overlap_pressurediff_centroiddist,CI_Diff_pressurediff_all,Overlap_pressurediff_all,CI_Diff_ca_centroiddist,Overlap_ca_centroiddist,CI_Diff_ca_all,Overlap_ca_all,CI_Diff_centroiddist_all,Overlap_centroiddist_all
A001,-0.467665585009436,0.5491474828665461,0.462,-10.69968498510136,10.958530139035226,0.575,-24.146817744261416,24.512301691834143,0.566,-0.47614711035183,0.4755502025204771,0.404,0.465,corr_pressdiff,0.575,Uncorrelated,Correlated,Correlated,Correlated,Correlated,0.5613391696952096,0.164 to 0.725,"(-0.061, 0.725)","(0.164, 0.816)",0.5749373420838381,0.150 to 0.725,"(0.150, 0.812)",0.7154056684286525,0.010 to 0.725,"(0.010, 0.757)",0.7117245762976575,0.014 to 0.725,"(0.014, 0.759)",0.6475477252996703,0.164 to 0.812,0.5933301893286487,0.164 to 0.757,0.5948958779743646,0.164 to 0.759,0.6069283617172772,0.150 to 0.757,0.6084940503629931,0.150 to 0.759,0.7437155959310966,0.014 to 0.757
A002,-1.285756522424001,1.5026969477633676,0.272,-17.767168557753756,18.376835435067107,0.12,-49.09145295323438,50.29846438309659,0.455,-1.3069123517018784,1.302032628888345,0.194,0.223,corr_ca,0.455,Uncorrelated,Uncorrelated,Uncorrelated,Uncorrelated,Uncorrelated,0.830263666125344,-0.286 to 0.545,"(-0.286, 0.596)","(-0.353, 0.545)",0.5942091428165396,0.001 to 0.596,"(0.001, 0.754)",0.8032355024909226,-0.208 to 0.596,"(-0.208, 0.646)",0.8533169695682269,-0.258 to 0.596,"(-0.258, 0.615)",0.5433433881394144,0.001 to 0.545,0.7523697478137974,-0.208 to 0.545,0.8024512148911017,-0.258 to 0.545,0.6451302609878691,0.001 to 0.646,0.6132416598896587,0.001 to 0.615,0.8222680195640417,-0.208 to 0.615
A004,-1.2660754974823845,1.5330395502489655,-0.255,-10.14053403218845,10.371872823754108,0.136,-40.59054323243962,41.20269186491039,0.078,-1.2113317799649732,1.2110153916656283,-0.328,-0.169,corr_centroid,-0.328,Uncorrelated,Uncorrelated,Uncorrelated,Uncorrelated,Uncorrelated,0.4869204779540496,-0.339 to 0.148,"(-0.681, 0.148)","(-0.339, 0.556)",0.5379913992028008,-0.390 to 0.148,"(-0.390, 0.514)",0.7837122366183014,-0.636 to 0.148,"(-0.636, 0.225)",0.7268137188531548,-0.579 to 0.148,"(-0.579, 0.309)",0.8529403783062262,-0.339 to 0.514,0.5640817219112582,-0.339 to 0.225,0.6478272555650049,-0.339 to 0.309,0.6151526431600094,-0.390 to 0.225,0.6988981768137561,-0.390 to 0.309,0.8039749628103634,-0.579 to 0.225
A005,-1.27442782375888,1.4951862325052625,0.633,-13.83665270249193,14.159108120873276,0.417,-47.80933332445986,48.65380059618703,0.538,-1.3001537518804045,1.2988945341573723,0.588,0.588,corr_centroid,0.588,Correlated,Uncorrelated,Correlated,Correlated,Correlated,0.5490906921428669,0.183 to 0.732,"(0.183, 0.823)","(-0.046, 0.732)",0.613974422545124,0.183 to 0.797,"(0.110, 0.797)",0.5715750929726421,0.251 to 0.823,"(0.251, 0.844)",0.6395286788173042,0.183 to 0.823,"(0.183, 0.823)",0.6219428308576198,0.110 to 0.732,0.4811026145971351,0.251 to 0.732,0.5491938584034831,0.183 to 0.732,0.5459863449993922,0.251 to 0.797,0.6140775888057403,0.183 to 0.797,0.5715406012715726,0.251 to 0.823
A006,-2.278352979320698,2.708783147177509,0.118,-17.299082377796157,17.99954497667667,-0.005,-73.82298487728823,76.02401464913018,-0.08,-2.2173438182349705,2.2080334788432787,-0.012,0.003,corr_ca,-0.08,Uncorrelated,Uncorrelated,Uncorrelated,Uncorrelated,Uncorrelated,0.9027705474210272,-0.458 to 0.445,"(-0.464, 0.445)","(-0.458, 0.450)",0.8519083269029598,-0.464 to 0.388,"(-0.515, 0.388)",0.7995840916978381,-0.355 to 0.445,"(-0.355, 0.543)",0.8965734358603139,-0.452 to 0.445,"(-0.452, 0.457)",0.8463625769759767,-0.458 to 0.388,0.8052150215508544,-0.355 to 0.450,0.9022043657133301,-0.452 to 0.450,0.7431761212527876,-0.355 to 0.388,0.8401654654152633,-0.452 to 0.388,0.811422973658527,-0.355 to 0.457
A007,-1.08139131700947,1.2806137733748555,0.231,-17.134897199864625,17.520247039387776,0.162,-41.01313505681085,41.55460506691465,0.246,-1.050583625654455,1.0491251587458983,0.175,0.232,corr_ca,0.246,Uncorrelated,Uncorrelated,Uncorrelated,Uncorrelated,Uncorrelated,0.8772628674908484,-0.303 to 0.574,"(-0.303, 0.583)","(-0.316, 0.574)",0.8168725801895855,-0.234 to 0.583,"(-0.234, 0.630)",0.8322373421177734,-0.249 to 0.583,"(-0.249, 0.620)",0.8309095139301297,-0.248 to 0.583,"(-0.248, 0.621)",0.8079110337751095,-0.234 to 0.574,0.8232757957032975,-0.249 to 0.574,0.8219479675156538,-0.248 to 0.574,0.8541715265396312,-0.234 to 0.620,0.855041911408821,-0.234 to 0.621,0.8682084602801754,-0.248 to 0.620
A008,-0.4799700106989396,0.5648013733785405,0.189,-5.648716532018717,5.912482379425921,0.196,-28.44861339119229,29.002635485595643,0.303,-0.5054405099010215,0.5037247575750672,0.248,0.208,corr_ca,0.303,Uncorrelated,Uncorrelated,Uncorrelated,Uncorrelated,Uncorrelated,0.8291941860727197,-0.232 to 0.597,"(-0.232, 0.631)","(-0.284, 0.597)",0.8067983412899666,-0.176 to 0.631,"(-0.176, 0.665)",0.8249612043599128,-0.232 to 0.593,"(-0.290, 0.593)",0.837559194688962,-0.232 to 0.605,"(-0.272, 0.605)",0.7724857769754604,-0.176 to 0.597,0.8763759315399455,-0.284 to 0.593,0.868524588218595,-0.272 to 0.597,0.7682527952626536,-0.176 to 0.593,0.7808507855917027,-0.176 to 0.605,0.8642916065057882,-0.272 to 0.593
A009,-1.0654932685999658,1.257966479138553,0.078,-7.9561776494014,8.359577528409265,0.229,-62.3390179852823,63.41124275869619,0.247,-1.0974909057038904,1.10102145073313,0.117,0.16,corr_ca,0.247,Uncorrelated,Uncorrelated,Uncorrelated,Uncorrelated,Uncorrelated,0.7940775741460738,-0.252 to 0.542,"(-0.356, 0.542)","(-0.252, 0.619)",0.7760892284118803,-0.234 to 0.542,"(-0.234, 0.630)",0.8703722378731902,-0.356 to 0.514,"(-0.390, 0.514)",0.8600439807860104,-0.318 to 0.542,"(-0.318, 0.572)",0.852300782623611,-0.234 to 0.619,0.7659437066597579,-0.252 to 0.514,0.8239798171773315,-0.252 to 0.572,0.7479553609255644,-0.234 to 0.514,0.805991471443138,-0.234 to 0.572,0.8319101132996944,-0.318 to 0.514
A010,-0.3619943623232798,0.439910134547778,0.0,-7.23946396289137,7.532811830448257,0.0,-33.57388973632878,34.02791998018692,0.0,-0.3765194979944684,0.374700643112482,0.0,0.0,corr_pressdiff,0.0,Correlated,Correlated,Correlated,Correlated,Correlated,0.0,nan to nan,"(nan, nan)","(nan, nan)",0.0,nan to nan,"(nan, nan)",0.0,nan to nan,"(nan, nan)",0.0,nan to nan,"(nan, nan)",0.0,nan to nan,0.0,nan to nan,0.0,nan to nan,0.0,nan to nan,0.0,nan to nan,0.0,nan to nan
A011,-2.4223002989871247,2.7906891843388912,0.121,-9.99097287181727,10.156594284975526,0.132,-30.679288249322298,31.03910487670804,0.023,-2.576572873593753,2.573045619039212,0.139,0.163,corr_all,0.163,Uncorrelated,Uncorrelated,Uncorrelated,Uncorrelated,Uncorrelated,0.8891197406564504,-0.336 to 0.553,"(-0.336, 0.558)","(-0.343, 0.553)",0.8087853891931069,-0.336 to 0.473,"(-0.435, 0.473)",0.8811151640290733,-0.336 to 0.545,"(-0.353, 0.545)",0.8731267542679785,-0.315 to 0.558,"(-0.315, 0.574)",0.815507516469332,-0.343 to 0.473,0.8878372913052983,-0.343 to 0.545,0.867873792509764,-0.315 to 0.553,0.8255773996074558,-0.353 to 0.473,0.7875394410464205,-0.315 to 0.473,0.8598692158823869,-0.315 to 0.545
A012,-1.0470871692044024,1.2265488872035788,0.17,-9.718008798196138,10.02894558348568,0.305,-41.91894735356188,42.78435044261271,0.351,-0.9623486795725325,0.9571421852906236,0.131,0.18,corr_ca,0.351,Uncorrelated,Uncorrelated,Uncorrelated,Uncorrelated,Uncorrelated,0.7253271925286415,-0.173 to 0.552,"(-0.344, 0.552)","(-0.173, 0.667)",0.6749243772480786,-0.123 to 0.552,"(-0.123, 0.695)",0.8606449057017633,-0.308 to 0.552,"(-0.308, 0.579)",0.8507461202540927,-0.298 to 0.552,"(-0.298, 0.586)",0.7895374295268515,-0.123 to 0.667,0.7522212495239049,-0.173 to 0.579,0.7594198040857876,-0.173 to 0.586,0.7018184342433419,-0.123 to 0.579,0.7090169888052246,-0.123 to 0.586,0.8776401772493561,-0.298 to 0.579
A013,-1.3842590164409472,1.614057308366413,0.243,-14.512560497849847,14.851197214281385,0.297,-38.744557266839394,39.618414738103766,0.036,-1.511479942603036,1.5065083523680372,0.266,0.298,corr_all,0.298,Uncorrelated,Uncorrelated,Uncorrelated,Uncorrelated,Uncorrelated,0.8248583181296825,-0.182 to 0.643,"(-0.214, 0.643)","(-0.182, 0.662)",0.696137301244221,-0.214 to 0.482,"(-0.425, 0.482)",0.8420219141625228,-0.214 to 0.628,"(-0.237, 0.628)",0.8232109812027207,-0.181 to 0.643,"(-0.181, 0.663)",0.6643994038943999,-0.182 to 0.482,0.8102840168127017,-0.182 to 0.628,0.8421937119196988,-0.181 to 0.662,0.7193361847446649,-0.237 to 0.482,0.662752066967438,-0.181 to 0.482,0.80863667988574,-0.181 to 0.628
A014,-2.5671665130320287,2.9770225474753023,0.486,-12.265575749578629,12.601654054803571,0.371,-35.242114697783585,35.8154955229816,0.102,-2.722397893991744,2.719897159709963,0.499,0.451,corr_centroid,0.499,Correlated,Uncorrelated,Uncorrelated,Correlated,Uncorrelated,0.6478952675046721,0.059 to 0.706,"(0.059, 0.777)","(-0.100, 0.706)",0.47306105750163613,0.059 to 0.532,"(-0.369, 0.532)",0.7115812607401591,0.059 to 0.770,"(0.041, 0.770)",0.6929376799760228,0.059 to 0.752,"(-0.004, 0.752)",0.6311890301207015,-0.100 to 0.532,0.6657682693729479,0.041 to 0.706,0.7100352655629021,-0.004 to 0.706,0.49093405936991197,0.041 to 0.532,0.5352010555598662,-0.004 to 0.532,0.7108106818442986,0.041 to 0.752
A015,-1.1905875375138304,1.4927487480183603,0.0,-14.05047431038516,14.57603460970114,0.0,-54.181207992277656,55.13403679874855,0.0,-1.3724590666988337,1.3674502312464658,0.0,0.0,corr_pressdiff,0.0,Correlated,Correlated,Correlated,Correlated,Correlated,0.0,nan to nan,"(nan, nan)","(nan, nan)",0.0,nan to nan,"(nan, nan)",0.0,nan to nan,"(nan, nan)",0.0,nan to nan,"(nan, nan)",0.0,nan to nan,0.0,nan to nan,0.0,nan to nan,0.0,nan to nan,0.0,nan to nan,0.0,nan to nan
A016,-1.1926012626712206,1.4086871547300306,0.528,-11.933908347407112,12.221185407254971,0.436,-40.4556200409283,41.35332992315134,0.364,-1.1553307569088835,1.1532246440779452,0.492,0.521,corr_all,0.521,Correlated,Uncorrelated,Uncorrelated,Correlated,Correlated,0.6946208096364841,0.049 to 0.743,"(0.049, 0.773)","(-0.022, 0.743)",0.6535601822299251,0.049 to 0.702,"(-0.108, 0.702)",0.6768833530037706,0.097 to 0.773,"(0.097, 0.792)",0.6862029276095417,0.087 to 0.773,"(0.087, 0.788)",0.7244106507951468,-0.022 to 0.702,0.6467939277574543,0.097 to 0.743,0.6561135023632254,0.087 to 0.743,0.6057333003508952,0.097 to 0.702,0.6150528749566664,0.087 to 0.702,0.6919731929806209,0.097 to 0.788
A017,-1.410822322532898,1.602786873256213,-0.12,-15.04891341912892,15.722887230293631,-0.166,-50.40389732309363,51.61742361712753,-0.147,-1.4476854502895504,1.4435192109538142,-0.134,-0.162,corr_pressdiff,-0.166,Uncorrelated,Uncorrelated,Uncorrelated,Uncorrelated,Uncorrelated,0.8658948324177116,-0.555 to 0.311,"(-0.555, 0.341)","(-0.577, 0.311)",0.883996179633409,-0.555 to 0.329,"(-0.563, 0.329)",0.8855171997602362,-0.545 to 0.341,"(-0.545, 0.353)",0.8701398736568275,-0.555 to 0.316,"(-0.574, 0.316)",0.8747347462537678,-0.563 to 0.311,0.8560037130964513,-0.545 to 0.311,0.8852000107388753,-0.574 to 0.311,0.8741050603121487,-0.545 to 0.329,0.8789797874928837,-0.563 to 0.316,0.8602487543355672,-0.545 to 0.316
A018,-0.9570466563592164,1.1319068788265816,-0.548,-11.587901898462883,12.12555333359492,-0.493,-49.3416535505243,50.265874427982695,-0.588,-0.9760701467695412,0.9711885129900464,-0.523,-0.523,corr_ca,-0.588,Correlated,Correlated,Correlated,Correlated,Correlated,0.6830744676436743,-0.774 to -0.091,"(-0.790, -0.091)","(-0.774, -0.049)",0.6072541433501454,-0.790 to -0.183,"(-0.823, -0.183)",0.6644813430069787,-0.790 to -0.125,"(-0.803, -0.125)",0.698740087495051,-0.789 to -0.091,"(-0.789, -0.090)",0.591178229878867,-0.774 to -0.183,0.6484054295357005,-0.774 to -0.125,0.6841552127472079,-0.774 to -0.090,0.6200920999033306,-0.803 to -0.183,0.6068438497302437,-0.789 to -0.183,0.6640710493870772,-0.789 to -0.125
