frame_time,subject,variable,icm_centroiddist_count,icm_ca_count,icm_pressdiff_count,total_rating,icm_centroid_count,icm_all_count,icm_pressdiff_count_3,icm_pressdiff_count_6
23/6/2024 13:07,A001,rating1,0,0,0,10,0,0,0,0
23/6/2024 13:27,A001,rating2,8,4,9,10,13,17,9,9
23/6/2024 13:47,A001,rating3,7,5,10,10,13,18,19,19
23/6/2024 14:07,A001,rating4,18,11,11,10,30,36,30,30
23/6/2024 14:27,A001,rating5,14,5,17,11,25,35,38,47
23/6/2024 14:47,A001,rating6,13,6,11,11,23,29,39,58
23/6/2024 15:07,A001,rating7,17,11,22,11,26,37,50,80
23/6/2024 15:13,A001,rating8,0,0,0,10,0,0,33,71
23/6/2024 15:33,A001,rating9,21,14,11,12,35,40,33,72
23/6/2024 15:54,A001,rating10,11,10,7,12,18,20,18,68
23/6/2024 16:13,A001,rating11,14,14,11,13,24,29,29,62
23/6/2024 16:33,A001,rating12,11,13,12,15,20,27,30,63
23/6/2024 16:53,A001,rating13,10,12,18,13,15,27,41,59
23/6/2024 17:13,A001,rating14,12,12,17,13,21,33,47,76
23/6/2024 17:19,A001,rating15,0,0,0,12,0,0,35,65
23/6/2024 17:39,A001,rating16,20,16,23,16,33,43,40,81
23/6/2024 18:03,A001,rating17,16,10,13,12,28,36,36,83
23/6/2024 18:19,A001,rating18,16,9,15,15,26,30,51,86
23/6/2024 18:39,A001,rating19,6,4,11,18,9,16,39,79
23/6/2024 18:59,A001,rating20,11,5,12,17,17,24,38,74
23/6/2024 19:19,A001,rating21,38,38,36,20,56,74,59,110
23/6/2024 13:05,A002,rating1,0,0,0,10,0,0,0,0
23/6/2024 13:26,A002,rating2,15,18,18,10,22,31,18,18
23/6/2024 13:47,A002,rating3,9,14,12,10,14,24,30,30
23/6/2024 14:08,A002,rating4,12,23,20,10,15,30,50,50
23/6/2024 14:28,A002,rating5,19,19,28,10,28,48,60,78
23/6/2024 14:49,A002,rating6,16,16,31,10,26,44,79,109
23/6/2024 15:10,A002,rating7,37,34,52,12,44,78,111,161
23/6/2024 15:15,A002,rating8,0,0,0,10,0,0,83,143
23/6/2024 15:35,A002,rating9,31,25,28,12,52,65,80,159
23/6/2024 15:55,A002,rating10,22,31,33,13,26,45,61,172
23/6/2024 16:15,A002,rating11,36,26,25,14,53,62,86,169
23/6/2024 16:35,A002,rating12,19,32,21,13,31,44,79,159
23/6/2024 16:56,A002,rating13,8,13,20,15,12,30,66,127
23/6/2024 17:16,A002,rating14,23,32,30,13,29,49,71,157
23/6/2024 17:21,A002,rating15,0,0,0,12,0,0,50,129
23/6/2024 17:42,A002,rating16,28,16,11,12,49,54,41,107
23/6/2024 18:02,A002,rating17,18,9,17,14,28,35,28,99
23/6/2024 18:22,A002,rating18,8,23,13,14,9,22,41,91
23/6/2024 18:42,A002,rating19,14,28,15,16,18,30,45,86
23/6/2024 19:02,A002,rating20,23,28,26,14,35,56,54,82
23/6/2024 19:22,A002,rating21,36,52,36,15,41,63,77,118
25/6/2024 13:12,A004,rating1,0,0,0,26,0,0,0,0
25/6/2024 13:33,A004,rating2,11,17,14,33,17,25,14,14
25/6/2024 13:52,A004,rating3,23,26,11,30,37,43,25,25
25/6/2024 14:12,A004,rating4,7,16,13,30,10,22,38,38
25/6/2024 14:34,A004,rating5,19,26,18,31,27,41,42,56
25/6/2024 14:52,A004,rating6,5,9,11,31,11,18,42,67
25/6/2024 15:12,A004,rating7,28,35,25,31,51,62,54,92
25/6/2024 15:18,A004,rating8,0,0,0,14,0,0,36,78
25/6/2024 15:39,A004,rating9,31,30,29,17,55,72,54,96
25/6/2024 15:58,A004,rating10,33,25,11,19,53,57,40,94
25/6/2024 16:19,A004,rating11,18,19,10,21,24,29,50,86
25/6/2024 16:42,A004,rating12,21,25,19,29,30,42,40,94
25/6/2024 16:59,A004,rating13,42,64,46,33,52,85,75,115
25/6/2024 17:19,A004,rating14,19,19,13,25,28,34,78,128
25/6/2024 17:25,A004,rating15,0,0,0,23,0,0,59,99
25/6/2024 17:45,A004,rating16,14,6,4,25,23,25,17,92
25/6/2024 18:06,A004,rating17,17,15,18,31,26,38,22,100
25/6/2024 18:25,A004,rating18,5,4,3,33,12,15,25,84
25/6/2024 18:45,A004,rating19,10,22,17,30,15,25,38,55
